Graph Size,Edges,Bad Edges,Bad Edge Ratio,Hot Violations,Acceptance Rate,Time Total (s),Time Probe (s),Time Color (s),Time Verify (s)
204,796,184,0.23115577889447236,68,0.57,156.09,1.47,0.62,152.75
241,947,211,0.22280887011615627,68,0.55,155.87,1.6,0.75,152.24
278,1090,255,0.23394495412844038,56,0.63,161.24,1.79,0.91,157.18
315,1239,284,0.22921711057304278,56,0.49,173.99,2.0,1.09,169.28
352,1387,314,0.22638788752703676,56,0.56,168.66,2.07,1.21,163.72
389,1541,348,0.22582738481505515,53,0.54,177.79,1.54,1.38,172.69
426,1688,362,0.21445497630331753,54,0.55,153.77,1.62,1.64,149.07
463,1838,398,0.21653971708378672,44,0.59,147.13,1.59,1.64,142.39
500,1984,450,0.22681451612903225,41,0.53,147.09,1.59,1.77,142.41
537,2133,495,0.2320675105485232,43,0.52,147.8,1.74,1.95,142.63
574,2279,534,0.2343132953049583,41,0.55,149.98,1.64,2.13,144.75
611,2421,558,0.23048327137546468,43,0.61,152.02,1.73,2.25,146.52
648,2572,594,0.23094867807153965,40,0.54,142.77,1.5,2.47,137.4
685,2722,575,0.2112417340191036,38,0.58,142.68,1.65,2.61,136.58
722,2866,623,0.21737613398464758,29,0.59,157.76,1.68,2.67,152.1
759,3021,679,0.2247600132406488,30,0.6,150.36,1.72,2.92,144.4
796,3164,720,0.22756005056890014,27,0.51,157.09,1.92,3.05,150.82
833,3312,759,0.22916666666666666,31,0.57,155.42,1.66,3.25,149.14
870,3462,777,0.2244367417677643,26,0.64,162.07,2.23,3.31,154.75
907,3603,793,0.22009436580627256,22,0.57,154.03,1.87,3.38,147.51
944,3755,860,0.22902796271637815,20,0.53,173.11,1.87,3.56,166.36
